;;;;;;;;Расход блюд
;;;;;;Наименование Ресторана: MESTO
;;;;;;Дата: 04.03.2026 - 05.03.2026
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;6358Чай Облепиха 200мл;;;;;;;1,00;90,00;;;90,00
;6359Чай Розмарин с лимоном 200мл;;;;;;;2,00;180,00;;;180,00
;6378Чай Ежевика-миндаль;;;;;;;2,00;820,00;;;820,00
;6380Иван чай с малиной и травами;;;;;;;2,00;820,00;-41,00;;779,00
;6381Чай бардак бергамота;;;;;;;2,00;820,00;-41,00;;779,00
;6385Пицца тонкая с креветками и соусом том ям;;;;;;;2,00;1 258,00;;;1 258,00
;6386Пицца НЕАПОЛЬ с креветками и соусом том ям;;;;;;;3,00;1 887,00;;;1 887,00
;6411Собер Баш Корвина 125 мл;;;;;;;2,00;740,00;;;740,00
;6422БУРГЕР Кавказ;;;;;;;2,00;1 138,00;;;1 138,00
;;;;;;;Расход блюд;;;;;;;;9
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;6426Пицца НЕАПОЛЬ Три мяса;;;;;;;1,00;729,00;;;729,00
;6427Пицца тонкая Три мяса;;;;;;;1,00;729,00;;;729,00
;6429Сырные шарики 6шт;;;;;;;5,00;1 295,00;-25,90;;1 269,10
;6431Картофель фри с беконом и сырн соусом;;;;;;;2,00;698,00;;;698,00
;6434Поке с лососем;;;;;;;3,00;1 980,00;-198,00;;1 782,00
;6435Ролл горячий с лососем,угрем,авокадо;;;;;;;1,00;670,00;-67,00;;603,00
;6436Ролл горячий с тунцом и креветкой;;;;;;;2,00;1 340,00;;;1 340,00
;6474Салат с битыми огурцами;;;;;;;2,00;1 120,00;-112,00;;1 008,00
;6475Жареный картофель с марин.капустой и грибами;;;;;;;2,00;940,00;-94,00;;846,00
;6477Токпокки кальмар/томат;;;;;;;1,00;740,00;-74,00;;666,00
;6479Щи с квашеной капустой;;;;;;;3,00;1 170,00;-78,00;;1 092,00
;6481Поке с тофу и дайконом;;;;;;;1,00;720,00;;;720,00
;6482Ролл  креветкой и дайконом;;;;;;;2,00;1 140,00;;;1 140,00
